hole,sector,pin,rubric_score
13,4r,2,5.0
13,4r,3,3.0
13,4r,4,3.0
13,4r,5,5.0
13,5l,1,4.0
13,5l,2,2.5
13,5l,3,4.0
13,5l,4,5.0
13,5l,5,3.5
13,5r,1,5.0
13,5r,2,3.0
13,5r,3,4.0
13,5r,4,4.0
13,5r,5,4.0
14,7o,1,2.5
14,7o,2,3.0
14,7o,3,2.0
14,7o,4,2.0
14,7o,5,3.0
14,8l,1,2.0
14,8l,2,1.5
14,8l,3,2.5
14,8l,4,2.0
14,8l,5,2.0
14,8r,1,2.5
14,8r,2,2.5
14,8r,3,2.0
14,8r,4,2.0
14,8r,5,2.0
14,7l,1,2.5
14,7l,2,2.0
14,7l,3,3.5
14,7l,4,3.0
14,7l,5,3.0
14,7r,1,3.5
14,7r,2,3.0
14,7r,3,2.5
14,7r,4,2.5
14,7r,5,3.0
14,1,1,3.0
14,1,2,2.5
14,1,3,3.0
14,1,4,4.5
14,1,5,2.5
14,2,1,1.5
14,2,2,1.5
14,2,3,2.0
14,2,4,2.0
14,2,5,1.5
14,3,1,1.5
14,3,2,1.5
14,3,3,2.0
14,3,4,1.5
14,3,5,2.0
14,4,1,2.0
14,4,2,2.0
14,4,3,1.5
14,4,4,2.0
14,4,5,1.5
14,5l,1,3.5
14,5l,2,3.0
14,5l,3,5.0
14,5l,4,5.0
14,5l,5,4.0
14,5r,1,5
14,5r,2,3.5
14,5r,3,4.0
14,5r,4,5.0
14,5r,5,3.0
14,6l,1,2.5
14,6l,2,3.5
14,6l,3,4.0
14,6l,4,2.5
14,6l,5,5.0
14,6r,1,4
14,6r,2,5.0
14,6r,3,3.5
14,6r,4,3.0
14,6r,5,4.0
15,8,1,1.0
15,8,2,1.0
15,8,3,1.5
15,8,4,1.0
15,8,5,1.0
15,5,1,1.5
15,5,2,1.0
15,5,3,2.5
15,5,4,2.0
15,5,5,2.5
15,3,1,1.5
15,3,2,1.5
15,3,3,2.5
15,3,4,1.5
15,3,5,2.5
15,2,1,2.5
15,2,2,3.0
15,2,3,2.0
15,2,4,2.0
15,2,5,2.5
15,4,1,2.0
15,4,2,2.0
15,4,3,2.5
15,4,4,2.5
15,4,5,2.0
15,1,1,2.5
15,1,2,2.5
15,1,3,2.0
15,1,4,2.0
15,1,5,2.0
15,6l,1,4.5
15,6l,2,4.5
15,6l,3,2.5
15,6l,4,3.0
15,6l,5,3.5
15,6r,1,4.0
15,6r,2,2.0
15,6r,3,4.0
15,6r,4,5.0
15,6r,5,2.5
15,7l,1,2.5
15,7l,2,2.0
15,7l,3,4.5
15,7l,4,3.5
15,7l,5,5.0
15,7r,1,2.5
15,7r,2,2.0
15,7r,3,5.0
15,7r,4,4.0
15,7r,5,4.0
16,8ob,1,2.5
16,8ob,2,1.0
16,8ob,3,2.5
16,8ob,4,1.0
16,8ob,5,2.5
16,8l,1,3.5
16,8l,2,2.0
16,8l,3,3.5
16,8l,4,2.0
16,8l,5,3.0
16,8r,1,3.0
16,8r,2,2.0
16,8r,3,3.5
16,8r,4,2.0
16,8r,5,3.5
16,7l,1,3.5
16,7l,2,2.5
16,7l,3,3.5
16,7l,4,2.0
16,7l,5,3.0
16,7r,1,3.0
16,7r,2,2.0
16,7r,3,3.5
16,7r,4,2.5
16,7r,5,3.5
16,9l,1,2.0
16,9l,2,2.0
16,9l,3,2.0
16,9l,4,1.5
16,9l,5,1.5
16,9r,1,1.5
16,9r,2,1.5
16,9r,3,2.0
16,9r,4,2.0
16,9r,5,2.0
16,1,1,2.5
16,1,2,4.5
16,1,3,2.5
16,1,4,4.5
16,1,5,2.5
16,2,1,2.0
16,2,2,2.0
16,2,3,1.5
16,2,4,1.5
16,2,5,1.5
16,3,1,1.5
16,3,2,1.5
16,3,3,1.5
16,3,4,2.0
16,3,5,2.0
16,4l,1,3.0
16,4l,2,5.0
16,4l,3,3.0
16,4l,4,5.0
16,4l,5,2.5
16,4r,1,2.5
16,4r,2,4.5
16,4r,3,3.0
16,4r,4,5.0
16,4r,5,3.0
16,5l,1,4.5
16,5l,2,2.0
16,5l,3,4.5
16,5l,4,2.0
16,5l,5,4.0
16,5r,1,4.0
16,5r,2,2.0
16,5r,3,4.5
16,5r,4,2.0
16,5r,5,4.5
16,6l,1,5.0
16,6l,2,1.5
16,6l,3,4.5
16,6l,4,1.5
16,6l,5,4.0
16,6r,1,4.0
16,6r,2,1.5
16,6r,3,4.5
16,6r,4,1.5
16,6r,5,5.0
17,9o,1,2.0
17,9o,2,1.5
17,9o,3,2.5
17,9o,4,2.0
17,9o,5,2.5
17,7l,1,2.0
17,7l,2,2.0
17,7l,3,1.5
17,7l,4,2.5
17,7l,5,2.0
17,7r,1,2.5
17,7r,2,2.0
17,7r,3,2.0
17,7r,4,2.0
17,7r,5,1.5
17,8l,1,2.0
17,8l,2,1.5
17,8l,3,2.0
17,8l,4,2.5
17,8l,5,2.5
17,8r,1,2.5
17,8r,2,1.5
17,8r,3,2.5
17,8r,4,2.0
17,8r,5,2.0
17,9l,1,1.5
17,9l,2,1.5
17,9l,3,1.5
17,9l,4,2.0
17,9l,5,2.0
17,9r,1,2.0
17,9r,2,2.0
17,9r,3,1.5
17,9r,4,1.5
17,9r,5,1.5
17,1,1,3.0
17,1,2,4.5
17,1,3,2.5
17,1,4,3.0
17,1,5,2.5
17,2,1,1.5
17,2,2,2.0
17,2,3,1.5
17,2,4,2.0
17,2,5,2.0
17,3,1,2.0
17,3,2,2.0
17,3,3,2.0
17,3,4,1.5
17,3,5,1.5
17,4l,1,4.0
17,4l,2,5.0
17,4l,3,3.0
17,4l,4,4.5
17,4l,5,3.5
17,4r,1,5
17,4r,2,5.0
17,4r,3,3.5
17,4r,4,4.0
17,4r,5,3.0
17,5l,1,3.5
17,5l,2,3.0
17,5l,3,4.0
17,5l,4,4.0
17,5l,5,5.0
17,5r,1,4.0
17,5r,2,3.0
17,5r,3,5.0
17,5r,4,4.0
17,5r,5,4.0
18,6,1,2.0
18,6,2,3.0
18,6,3,2.5
18,6,4,3.0
18,6,5,2.5
18,9,1,1.0
18,9,2,1.0
18,9,3,1.5
18,9,4,1.5
18,9,5,1.0
18,7l,1,2.5
18,7l,2,1.5
18,7l,3,2.0
18,7l,4,1.5
18,7l,5,2.0
18,7r,1,2.5
18,7r,2,2.5
18,7r,3,2.5
18,7r,4,2.0
18,7r,5,2.0
18,8l,1,2.0
18,8l,2,1.5
18,8l,3,1.5
18,8l,4,1.5
18,8l,5,2.0
18,8r,1,2.0
18,8r,2,2.0
18,8r,3,2.0
18,8r,4,1.5
18,8r,5,1.5
18,1,1,4.5
18,1,2,2.5
18,1,3,3.0
18,1,4,2.5
18,1,5,3.0
18,2,1,2.0
18,2,2,1.5
18,2,3,2.0
18,2,4,2.0
18,2,5,2.0
18,3,1,2.0
18,3,2,2.0
18,3,3,2.0
18,3,4,1.5
18,3,5,2.0
18,4l,1,5.0
18,4l,2,2.5
18,4l,3,4.5
18,4l,4,3.0
18,4l,5,5.0
18,4r,1,5.0
18,4r,2,3.0
18,4r,3,5.0
18,4r,4,2.5
18,4r,5,4.5
18,5l,1,3.0
18,5l,2,4.5
18,5l,3,3.5
18,5l,4,5.0
18,5l,5,3.5
18,5r,1,3.0
18,5r,2,5.0
18,5r,3,3.5
18,5r,4,4.5
18,5r,5,3.5
